,dev,date,HH,MM,ss,audio
0,trunc,20190821,11,39,26,trunc_2019-08-21-11-39-26-L8_9_label.wav
0,steth,20180814,09,37,11,steth_20180814_09_37_11_label.wav
0,steth,20180814,09,37,11,steth_20180814_09_37_11_label.wav
0,steth,20180814,09,37,33,steth_20180814_09_37_33_label.wav
0,steth,20180814,09,37,33,steth_20180814_09_37_33_label.wav
0,steth,20180814,09,37,59,steth_20180814_09_37_59_label.wav
0,steth,20180814,09,37,59,steth_20180814_09_37_59_label.wav
0,steth,20180814,09,38,28,steth_20180814_09_38_28_label.wav
0,steth,20180814,09,38,28,steth_20180814_09_38_28_label.wav
0,steth,20180814,09,38,51,steth_20180814_09_38_51_label.wav
0,steth,20180814,09,38,51,steth_20180814_09_38_51_label.wav
0,steth,20180814,09,39,10,steth_20180814_09_39_10_label.wav
0,steth,20180814,09,39,10,steth_20180814_09_39_10_label.wav
0,steth,20180814,09,39,33,steth_20180814_09_39_33_label.wav
0,steth,20180814,09,39,33,steth_20180814_09_39_33_label.wav
0,steth,20180814,09,39,55,steth_20180814_09_39_55_label.wav
0,steth,20180814,09,39,55,steth_20180814_09_39_55_label.wav
0,steth,20180814,09,56,09,steth_20180814_09_56_09_label.wav
0,steth,20180814,09,56,09,steth_20180814_09_56_09_label.wav
0,steth,20180814,09,56,30,steth_20180814_09_56_30_label.wav
0,steth,20180814,09,56,30,steth_20180814_09_56_30_label.wav
0,steth,20180814,09,57,16,steth_20180814_09_57_16_label.wav
0,steth,20180814,09,57,16,steth_20180814_09_57_16_label.wav
0,steth,20180814,09,57,37,steth_20180814_09_57_37_label.wav
0,steth,20180814,09,57,37,steth_20180814_09_57_37_label.wav
0,steth,20180814,09,57,56,steth_20180814_09_57_56_label.wav
0,steth,20180814,09,57,56,steth_20180814_09_57_56_label.wav
0,steth,20180814,09,58,17,steth_20180814_09_58_17_label.wav
0,steth,20180814,09,58,17,steth_20180814_09_58_17_label.wav
0,steth,20180814,09,58,36,steth_20180814_09_58_36_label.wav
0,steth,20180814,09,58,36,steth_20180814_09_58_36_label.wav
0,steth,20180814,10,47,31,steth_20180814_10_47_31_label.wav
0,steth,20180814,10,47,31,steth_20180814_10_47_31_label.wav
0,steth,20180814,10,47,53,steth_20180814_10_47_53_label.wav
0,steth,20180814,10,47,53,steth_20180814_10_47_53_label.wav
0,steth,20180814,10,48,14,steth_20180814_10_48_14_label.wav
0,steth,20180814,10,48,14,steth_20180814_10_48_14_label.wav
0,steth,20180814,10,49,02,steth_20180814_10_49_02_label.wav
0,steth,20180814,10,49,02,steth_20180814_10_49_02_label.wav
0,steth,20180814,10,49,29,steth_20180814_10_49_29_label.wav
0,steth,20180814,10,49,29,steth_20180814_10_49_29_label.wav
0,steth,20180814,10,49,51,steth_20180814_10_49_51_label.wav
0,steth,20180814,10,49,51,steth_20180814_10_49_51_label.wav
0,steth,20180814,10,50,10,steth_20180814_10_50_10_label.wav
0,steth,20180814,10,50,10,steth_20180814_10_50_10_label.wav
0,steth,20180814,10,50,30,steth_20180814_10_50_30_label.wav
0,steth,20180814,10,50,30,steth_20180814_10_50_30_label.wav
0,steth,20180814,10,52,17,steth_20180814_10_52_17_label.wav
0,steth,20180814,10,52,17,steth_20180814_10_52_17_label.wav
0,steth,20180814,10,52,40,steth_20180814_10_52_40_label.wav
0,steth,20180814,10,52,40,steth_20180814_10_52_40_label.wav
0,steth,20180814,10,53,20,steth_20180814_10_53_20_label.wav
0,steth,20180814,10,53,20,steth_20180814_10_53_20_label.wav
0,steth,20180814,10,53,44,steth_20180814_10_53_44_label.wav
0,steth,20180814,10,53,44,steth_20180814_10_53_44_label.wav
0,steth,20180814,10,56,00,steth_20180814_10_56_00_label.wav
0,steth,20180814,10,56,00,steth_20180814_10_56_00_label.wav
0,steth,20180814,10,56,19,steth_20180814_10_56_19_label.wav
0,steth,20180814,10,56,19,steth_20180814_10_56_19_label.wav
0,steth,20180814,10,56,42,steth_20180814_10_56_42_label.wav
0,steth,20180814,10,56,42,steth_20180814_10_56_42_label.wav
0,steth,20180814,10,57,03,steth_20180814_10_57_03_label.wav
0,steth,20180814,10,57,03,steth_20180814_10_57_03_label.wav
0,steth,20180816,11,06,23,steth_20180816_11_06_23_label.wav
0,steth,20180816,11,06,23,steth_20180816_11_06_23_label.wav
0,steth,20180816,11,06,45,steth_20180816_11_06_45_label.wav
0,steth,20180816,11,06,45,steth_20180816_11_06_45_label.wav
0,steth,20180816,11,07,07,steth_20180816_11_07_07_label.wav
0,steth,20180816,11,07,07,steth_20180816_11_07_07_label.wav
0,steth,20180816,11,09,13,steth_20180816_11_09_13_label.wav
0,steth,20180816,11,09,13,steth_20180816_11_09_13_label.wav
0,steth,20180816,11,09,35,steth_20180816_11_09_35_label.wav
0,steth,20180816,11,09,35,steth_20180816_11_09_35_label.wav
0,steth,20180816,11,09,56,steth_20180816_11_09_56_label.wav
0,steth,20180816,11,09,56,steth_20180816_11_09_56_label.wav
0,steth,20180816,11,10,18,steth_20180816_11_10_18_label.wav
0,steth,20180816,11,10,18,steth_20180816_11_10_18_label.wav
0,steth,20180816,11,19,32,steth_20180816_11_19_32_label.wav
0,steth,20180816,11,19,32,steth_20180816_11_19_32_label.wav
0,steth,20180816,11,19,58,steth_20180816_11_19_58_label.wav
0,steth,20180816,11,19,58,steth_20180816_11_19_58_label.wav
0,steth,20180816,11,20,19,steth_20180816_11_20_19_label.wav
0,steth,20180816,11,20,19,steth_20180816_11_20_19_label.wav
0,steth,20180816,11,21,17,steth_20180816_11_21_17_label.wav
0,steth,20180816,11,21,17,steth_20180816_11_21_17_label.wav
0,steth,20180816,11,21,39,steth_20180816_11_21_39_label.wav
0,steth,20180816,11,21,39,steth_20180816_11_21_39_label.wav
